Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
128,0,以下,名詞,非自立,副詞可能,*,以下,66
130,0,内容,名詞,一般,*,*,内容,38
132,0,理解,名詞,サ変接続,*,*,理解,36
135,0,説明,名詞,サ変接続,*,*,説明,36
136,0,できる,動詞,自立,*,*,できる,31
140,0,微生物,名詞,一般,*,*,微生物,38
142,0,特徴,名詞,一般,*,*,特徴,38
144,0,培養,名詞,サ変接続,*,*,培養,36
145,0,法,名詞,接尾,一般,*,法,51
148,0,遺伝子,名詞,一般,*,*,遺伝子,38
150,0,調製,名詞,サ変接続,*,*,調製,36
152,0,増幅,名詞,サ変接続,*,*,増幅,36
154,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
155,0,操作,名詞,サ変接続,*,*,操作,36
158,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
160,0,タンパク質,名詞,一般,*,*,タンパク質,38
163,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
164,0,計測,名詞,サ変接続,*,*,計測,36
165,0,技術,名詞,一般,*,*,技術,38
168,0,バイオ,名詞,一般,*,*,バイオ,38
169,0,チップ,名詞,一般,*,*,チップ,38
171,0,活用,名詞,サ変接続,*,*,活用,36
174,0,解析,名詞,サ変接続,*,*,解析,36
176,0,網羅,名詞,サ変接続,*,*,網羅,36
177,0,的,名詞,接尾,形容動詞語幹,*,的,52
178,0,解析,名詞,サ変接続,*,*,解析,36
179,0,法,名詞,接尾,一般,*,法,51
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,内容,名詞,一般,*,*,内容,38
12,0,理解,名詞,サ変接続,*,*,理解,36
15,0,説明,名詞,サ変接続,*,*,説明,36
16,0,できる,動詞,自立,*,*,できる,31
20,0,微生物,名詞,一般,*,*,微生物,38
22,0,特徴,名詞,一般,*,*,特徴,38
24,0,培養,名詞,サ変接続,*,*,培養,36
25,0,法,名詞,接尾,一般,*,法,51
28,0,遺伝子,名詞,一般,*,*,遺伝子,38
30,0,調製,名詞,サ変接続,*,*,調製,36
32,0,増幅,名詞,サ変接続,*,*,増幅,36
34,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
35,0,操作,名詞,サ変接続,*,*,操作,36
38,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
40,0,タンパク質,名詞,一般,*,*,タンパク質,38
43,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
44,0,計測,名詞,サ変接続,*,*,計測,36
45,0,技術,名詞,一般,*,*,技術,38
48,0,バイオ,名詞,一般,*,*,バイオ,38
49,0,チップ,名詞,一般,*,*,チップ,38
51,0,活用,名詞,サ変接続,*,*,活用,36
54,0,解析,名詞,サ変接続,*,*,解析,36
56,0,網羅,名詞,サ変接続,*,*,網羅,36
57,0,的,名詞,接尾,形容動詞語幹,*,的,52
58,0,解析,名詞,サ変接続,*,*,解析,36
59,0,法,名詞,接尾,一般,*,法,51
61,0,講義,名詞,サ変接続,*,*,講義,36
63,0,履修,名詞,サ変接続,*,*,履修,36
68,0,以下,名詞,非自立,副詞可能,*,以下,66
70,0,内容,名詞,一般,*,*,内容,38
72,0,理解,名詞,サ変接続,*,*,理解,36
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,できる,動詞,自立,*,*,できる,31
80,0,微生物,名詞,一般,*,*,微生物,38
82,0,特徴,名詞,一般,*,*,特徴,38
84,0,培養,名詞,サ変接続,*,*,培養,36
85,0,法,名詞,接尾,一般,*,法,51
88,0,遺伝子,名詞,一般,*,*,遺伝子,38
90,0,調製,名詞,サ変接続,*,*,調製,36
92,0,増幅,名詞,サ変接続,*,*,増幅,36
94,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
95,0,操作,名詞,サ変接続,*,*,操作,36
98,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
100,0,タンパク質,名詞,一般,*,*,タンパク質,38
103,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
104,0,計測,名詞,サ変接続,*,*,計測,36
105,0,技術,名詞,一般,*,*,技術,38
108,0,バイオ,名詞,一般,*,*,バイオ,38
109,0,チップ,名詞,一般,*,*,チップ,38
111,0,活用,名詞,サ変接続,*,*,活用,36
114,0,解析,名詞,サ変接続,*,*,解析,36
116,0,網羅,名詞,サ変接続,*,*,網羅,36
117,0,的,名詞,接尾,形容動詞語幹,*,的,52
118,0,解析,名詞,サ変接続,*,*,解析,36
119,0,法,名詞,接尾,一般,*,法,51
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
128,0,以下,名詞,非自立,副詞可能,*,以下,66
130,0,内容,名詞,一般,*,*,内容,38
132,0,理解,名詞,サ変接続,*,*,理解,36
135,0,説明,名詞,サ変接続,*,*,説明,36
136,0,できる,動詞,自立,*,*,できる,31
140,0,微生物,名詞,一般,*,*,微生物,38
142,0,特徴,名詞,一般,*,*,特徴,38
144,0,培養,名詞,サ変接続,*,*,培養,36
145,0,法,名詞,接尾,一般,*,法,51
148,0,遺伝子,名詞,一般,*,*,遺伝子,38
150,0,調製,名詞,サ変接続,*,*,調製,36
152,0,増幅,名詞,サ変接続,*,*,増幅,36
154,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
155,0,操作,名詞,サ変接続,*,*,操作,36
158,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
160,0,タンパク質,名詞,一般,*,*,タンパク質,38
163,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
164,0,計測,名詞,サ変接続,*,*,計測,36
165,0,技術,名詞,一般,*,*,技術,38
168,0,バイオ,名詞,一般,*,*,バイオ,38
169,0,チップ,名詞,一般,*,*,チップ,38
171,0,活用,名詞,サ変接続,*,*,活用,36
174,0,解析,名詞,サ変接続,*,*,解析,36
176,0,網羅,名詞,サ変接続,*,*,網羅,36
177,0,的,名詞,接尾,形容動詞語幹,*,的,52
178,0,解析,名詞,サ変接続,*,*,解析,36
179,0,法,名詞,接尾,一般,*,法,51
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,内容,名詞,一般,*,*,内容,38
12,0,理解,名詞,サ変接続,*,*,理解,36
15,0,説明,名詞,サ変接続,*,*,説明,36
16,0,できる,動詞,自立,*,*,できる,31
20,0,微生物,名詞,一般,*,*,微生物,38
22,0,特徴,名詞,一般,*,*,特徴,38
24,0,培養,名詞,サ変接続,*,*,培養,36
25,0,法,名詞,接尾,一般,*,法,51
28,0,遺伝子,名詞,一般,*,*,遺伝子,38
30,0,調製,名詞,サ変接続,*,*,調製,36
32,0,増幅,名詞,サ変接続,*,*,増幅,36
34,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
35,0,操作,名詞,サ変接続,*,*,操作,36
38,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
40,0,タンパク質,名詞,一般,*,*,タンパク質,38
43,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
44,0,計測,名詞,サ変接続,*,*,計測,36
45,0,技術,名詞,一般,*,*,技術,38
48,0,バイオ,名詞,一般,*,*,バイオ,38
49,0,チップ,名詞,一般,*,*,チップ,38
51,0,活用,名詞,サ変接続,*,*,活用,36
54,0,解析,名詞,サ変接続,*,*,解析,36
56,0,網羅,名詞,サ変接続,*,*,網羅,36
57,0,的,名詞,接尾,形容動詞語幹,*,的,52
58,0,解析,名詞,サ変接続,*,*,解析,36
59,0,法,名詞,接尾,一般,*,法,51
61,0,講義,名詞,サ変接続,*,*,講義,36
63,0,履修,名詞,サ変接続,*,*,履修,36
68,0,以下,名詞,非自立,副詞可能,*,以下,66
70,0,内容,名詞,一般,*,*,内容,38
72,0,理解,名詞,サ変接続,*,*,理解,36
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,できる,動詞,自立,*,*,できる,31
80,0,微生物,名詞,一般,*,*,微生物,38
82,0,特徴,名詞,一般,*,*,特徴,38
84,0,培養,名詞,サ変接続,*,*,培養,36
85,0,法,名詞,接尾,一般,*,法,51
88,0,遺伝子,名詞,一般,*,*,遺伝子,38
90,0,調製,名詞,サ変接続,*,*,調製,36
92,0,増幅,名詞,サ変接続,*,*,増幅,36
94,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
95,0,操作,名詞,サ変接続,*,*,操作,36
98,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
100,0,タンパク質,名詞,一般,*,*,タンパク質,38
103,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
104,0,計測,名詞,サ変接続,*,*,計測,36
105,0,技術,名詞,一般,*,*,技術,38
108,0,バイオ,名詞,一般,*,*,バイオ,38
109,0,チップ,名詞,一般,*,*,チップ,38
111,0,活用,名詞,サ変接続,*,*,活用,36
114,0,解析,名詞,サ変接続,*,*,解析,36
116,0,網羅,名詞,サ変接続,*,*,網羅,36
117,0,的,名詞,接尾,形容動詞語幹,*,的,52
118,0,解析,名詞,サ変接続,*,*,解析,36
119,0,法,名詞,接尾,一般,*,法,51
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
128,0,以下,名詞,非自立,副詞可能,*,以下,66
130,0,内容,名詞,一般,*,*,内容,38
132,0,理解,名詞,サ変接続,*,*,理解,36
135,0,説明,名詞,サ変接続,*,*,説明,36
136,0,できる,動詞,自立,*,*,できる,31
140,0,微生物,名詞,一般,*,*,微生物,38
142,0,特徴,名詞,一般,*,*,特徴,38
144,0,培養,名詞,サ変接続,*,*,培養,36
145,0,法,名詞,接尾,一般,*,法,51
148,0,遺伝子,名詞,一般,*,*,遺伝子,38
150,0,調製,名詞,サ変接続,*,*,調製,36
152,0,増幅,名詞,サ変接続,*,*,増幅,36
154,0,遺伝子組換え,名詞,固有名詞,一般,*,遺伝子組換え,41
155,0,操作,名詞,サ変接続,*,*,操作,36
158,0,遺伝子発現,名詞,固有名詞,一般,*,遺伝子発現,41
160,0,タンパク質,名詞,一般,*,*,タンパク質,38
163,0,相互作用,名詞,固有名詞,一般,*,相互作用,41
164,0,計測,名詞,サ変接続,*,*,計測,36
165,0,技術,名詞,一般,*,*,技術,38
168,0,バイオ,名詞,一般,*,*,バイオ,38
169,0,チップ,名詞,一般,*,*,チップ,38
171,0,活用,名詞,サ変接続,*,*,活用,36
174,0,解析,名詞,サ変接続,*,*,解析,36
176,0,網羅,名詞,サ変接続,*,*,網羅,36
177,0,的,名詞,接尾,形容動詞語幹,*,的,52
178,0,解析,名詞,サ変接続,*,*,解析,36
179,0,法,名詞,接尾,一般,*,法,51
0,0,DNA,名詞,固有名詞,一般,*,DNA,41
1,0,タンパク質,名詞,一般,*,*,タンパク質,38
2,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
3,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
5,0,DNA,名詞,固有名詞,一般,*,DNA,41
6,0,タンパク質,名詞,一般,*,*,タンパク質,38
7,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
8,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
10,0,DNA,名詞,固有名詞,一般,*,DNA,41
11,0,タンパク質,名詞,一般,*,*,タンパク質,38
12,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
13,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
0,0,DNA,名詞,固有名詞,一般,*,DNA,41
1,0,タンパク質,名詞,一般,*,*,タンパク質,38
2,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
3,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
5,0,DNA,名詞,固有名詞,一般,*,DNA,41
6,0,タンパク質,名詞,一般,*,*,タンパク質,38
7,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
8,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
10,0,DNA,名詞,固有名詞,一般,*,DNA,41
11,0,タンパク質,名詞,一般,*,*,タンパク質,38
12,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
13,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
0,0,DNA,名詞,固有名詞,一般,*,DNA,41
1,0,タンパク質,名詞,一般,*,*,タンパク質,38
2,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
3,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
5,0,DNA,名詞,固有名詞,一般,*,DNA,41
6,0,タンパク質,名詞,一般,*,*,タンパク質,38
7,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
8,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
10,0,DNA,名詞,固有名詞,一般,*,DNA,41
11,0,タンパク質,名詞,一般,*,*,タンパク質,38
12,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
13,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
0,0,DNA,名詞,固有名詞,一般,*,DNA,41
1,0,タンパク質,名詞,一般,*,*,タンパク質,38
2,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
3,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
5,0,DNA,名詞,固有名詞,一般,*,DNA,41
6,0,タンパク質,名詞,一般,*,*,タンパク質,38
7,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
8,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
10,0,DNA,名詞,固有名詞,一般,*,DNA,41
11,0,タンパク質,名詞,一般,*,*,タンパク質,38
12,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
13,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
0,0,DNA,名詞,固有名詞,一般,*,DNA,41
1,0,タンパク質,名詞,一般,*,*,タンパク質,38
2,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
3,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
5,0,DNA,名詞,固有名詞,一般,*,DNA,41
6,0,タンパク質,名詞,一般,*,*,タンパク質,38
7,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
8,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
10,0,DNA,名詞,固有名詞,一般,*,DNA,41
11,0,タンパク質,名詞,一般,*,*,タンパク質,38
12,0,mRNA,名詞,固有名詞,一般,*,mRNA,41
13,0,遺伝子工学,名詞,固有名詞,一般,*,遺伝子工学,41
0,0,反応工学,名詞,固有名詞,一般,*,反応工学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,均一,名詞,一般,*,*,均一,38
4,0,系,名詞,接尾,一般,*,系,51
6,0,生物,名詞,一般,*,*,生物,38
7,0,プロセス,名詞,一般,*,*,プロセス,38
8,0,工学,名詞,一般,*,*,工学,38
9,0,反応工学,名詞,固有名詞,一般,*,反応工学,41
10,0,第一,名詞,固有名詞,一般,*,第一,41
12,0,均一,名詞,一般,*,*,均一,38
13,0,系,名詞,接尾,一般,*,系,51
15,0,生物,名詞,一般,*,*,生物,38
